"iso_code","country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"GIN","Guinea","871.4993","898.6766","923.62585","967.11926","1000.30786","1040.6368","1078.1742","1123.7415","1148.0281","1179.8849","1208.5485","1253.4167","1312.6464","1327.8871","1368.5533","1424.1477","1453.0042","1558.6144","1617.1176","1574.6632","1632.3864","1721.4514","1817.8527","1880.2385","1940.6349","1986.353","2167.2825","2369.5193","2504.8696"
"GMB","Gambia, The","1588.8896","1630.3945","1665.5005","1701.042","1687.0131","1684.6698","1700.1583","1759.1599","1785.3094","1868.1383","1952.9076","2045.7158","1947.2726","2052.9395","2186.5596","2134.3103","2121.136","2178.1536","2290.3862","2389.549","2484.6692","2261.049","2352.8083","2389.254","2328.651","2376.479","2377.0422","2464.7737","2612.001"
"GNB","Guinea-Bissau","1060.0931","1126.1312","1138.4122","1163.5465","1200.057","1252.6886","1395.431","1482.8246","1057.7334","1063.0496","1122.7418","1147.8268","1129.3278","1130.8313","1165.9175","1224.2223","1259.8124","1303.7246","1338.1101","1358.9983","1401.6925","1506.6953","1469.805","1503.7458","1506.5895","1574.4612","1648.4384","1734.715","1799.0679"
"GNQ","Equatorial Guinea","660.4531","654.47327","872.9035","959.21136","1103.7263","1276.8253","2085.7495","5099.985","6131.704","7503.835","8703.661","13945.636","16236.601","18069.898","24525.865","28241.928","29941.86","33840.55","38790.902","37820.953","33294.652","34622.117","36576.09","34180.71","33542.766","29592.379","26232.133","24532.951","22743.824"
"GRC","Greece","13291.052","13997.429","14306.923","14327.032","14851.093","15408.692","16129.253","17154.13","18033.518","18464.732","19518.908","20963.56","22615.936","23870.16","25437.268","25577.523","28519.54","29291.924","30856.012","30365.4","28148.422","26141.32","25284.465","26097.871","26838.455","26902.525","27273.936","28579.795","29592.152"
"GRD","Grenada","4696.9424","4916.4766","4949.5435","4913.7046","5045.9883","5212.394","5504.276","5847.251","6578.6484","7105.378","7589.5767","7568.4565","7922.8955","8802.266","8951.282","10423.86","10283.795","11179.306","11475.728","10764.514","10788.989","11040.109","11054.585","11436.025","12424.067","13280.982","13844.144","14654.866","15557.545"
"GTM","Guatemala","3310.022","3465.0564","3629.2805","3771.7598","3915.657","4100.3853","4202.79","4363.092","4530.221","4666.0977","4830.764","4935.713","5086.551","5188.204","5368.5073","5585.651","5928.026","6327.755","6516.891","6458.253","6576.6685","6844.5405","7031.5312","7264.854","7552.718","7788.498","7955.32","8166.8574","8462.374"
"GUY","Guyana","1865.8638","2042.6154","2238.8257","2461.0134","2710.9512","2897.9097","3187.8135","3456.0425","3455.3674","3628.7742","3673.7993","3847.739","3955.0842","4001.1626","4169.795","4213.3896","4562.466","5013.0186","5209.152","5428.762","5706.2007","6106.9673","6523.2583","6935.123","7302.4067","7565.8","7865.4507","8142.576","8640.737"
"HND","Honduras","2081.5066","2022.0016","2132.5862","2260.3887","2249.1123","2370.0344","2389.196","2470.2893","2515.0996","2462.6697","2628.4246","2686.727","2759.2124","2865.0396","3049.734","3256.3003","3493.0635","3723.8843","3871.4695","3726.8262","3832.5454","3984.4973","4150.2656","4263.12","4398.0967","4536.1353","4683.1265","4916.7236","5138.7524"
"HRV","Croatia","0","0","0","0","0","7961.2026","8685.09","9463.797","9785.115","9843.817","10601.639","11613.484","12647.639","13550.173","14534.452","15303.862","17431.305","19354.982","20776.447","19998.686","19761.484","20743.506","21136.402","21769.28","22062.025","23013.621","24511.895","26351.906","27579.781"
